GEMEENTE;JAAR;PERIODE;BELEIDSPROGRAMMA;ORGANISATIE; SUBSIDIE BESCHIKT ;BEKOSTIGD UIT RIJKSINKOMSTEN;WETTELIJKE TAAK;GLOBAAL OVERZICHT GESUBSIDIEERDE ACTIVITEITEN
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;ServiceTeam Vlaardingen; 750,00 ;Nee;Nee;"Het organiseren van stadswandelingen en het organiseren van de cursus ""Ken uw stad""."
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Toneelgroep De Fakkel; 1.000,00 ;Nee;Nee;Het repeteren en uitvoeren van de jaarlijkse toneelvoorstelling, het deelnemen aan de Vlaardingse Uitmarkt en het uitvoeren van de Zwarte Pietenvoorstelling.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Toneelvereniging Het Masker; 1.500,00 ;Nee;Nee;Welzijnssubsidie: Het organiseren van meerdere toneelrepetities en twee uitvoeringen van de Voorjaarsvoorstelling en twee uitvoeringen van de Najaarsvoorstelling.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting VTG; 1.500,00 ;Nee;Nee;Organiseren van de Pomona-lezing.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Toneelvereniging Varia; 1.500,00 ;Nee;Nee;"Het organiseren van 40 repetities en 5 uitvoeringen van de toneelvoorstelling ""Al die Jazz""."
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting CentrumKunst Educatie KADE40; 1.800,00 ;Nee;Nee;Het realiseren van het project Culture Candy 2017.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Tamboer-, Trompetter- en Majorettekorps Liberte / Haringkoppen; 1.900,00 ;Nee;Nee;Welzijnssubsidie: Het organiseren van repetitieactiviteiten, het verzorgen van muziekoptredens van Showband Liberté en het verzorgen van muziekoptredens van Blaaskapel De Haringkoppen.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting Stadspodium ; 2.000,00 ;Nee;Nee;"Het organiseren van de serie talkshows onder de titel ""Talk of the Town"" 2017."
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting Anders Kijken; 2.500,00 ;Nee;Nee;Het organiseren van het Open Atelier Weekend 2017.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Historische Vereniging Vlaardingen; 2.500,00 ;Nee;Nee;Organiseren van de open dag in het kader van het vijftig jarig bestaan van de vereniging.
